gene	gene_name_mut_table
FBRS	FBRS
FBXL16	FBXL16
FBXL19	FBXL19
FOXF1	FOXF1
FUS	FUS
GLG1	GLG1
GLYR1	GLYR1
GNAO1	GNAO1
GRIN2A	GRIN2A
GSE1	GSE1
GSPT1	GSPT1
GTF3C1	GTF3C1
HERPUD1	HERPUD1
IL21R	IL21R
IRF8	IRF8
IRX5	IRX5
JPH3	JPH3
MAPK8IP3	MAPK8IP3
MARF1	MARF1
MAZ	MAZ
MKL2	MKL2
MTSS1L	MTSS1L
NFAT5	NFAT5
NFATC3	NFATC3
NKD1	NKD1
NUDT21	NUDT21
NUTF2	NUTF2
PAPD5	PAPD5
PDPK1	PDPK1
PKD1	PKD1
PLCG2	PLCG2
PLK1	PLK1
PRKCB	PRKCB
RAB11FIP3	RAB11FIP3
RANBP10	RANBP10
RBBP6	RBBP6
RBFOX1	RBFOX1
RBL2	RBL2
RIPOR1	RIPOR1
RNF40	RNF40
RNPS1	RNPS1
RPL13	RPL13
RSPRY1	RSPRY1
SALL1	SALL1
SETD1A	SETD1A
SF3B3	SF3B3
SH2B1	SH2B1
SMG1	SMG1
SRCAP	SRCAP
SRRM2	SRRM2
ST3GAL2	ST3GAL2
STX1B	STX1B
TAOK2	TAOK2
TBC1D10B	TBC1D10B
TERF2	TERF2
TFAP4	TFAP4
TMEM204	TMEM204
TNRC6A	TNRC6A
TOX3	TOX3
TSC2	TSC2
TUBB3	TUBB3
UBE2I	UBE2I
UBFD1	UBFD1
UBN1	UBN1
USP10	USP10
USP7	USP7
VPS35	VPS35
VPS4A	VPS4A
XPO6	XPO6
XYLT1	XYLT1
ZC3H18	ZC3H18
ZC3H7A	ZC3H7A
ZCCHC14	ZCCHC14
ZFHX3	ZFHX3
ZNF319	ZNF319
ZNF423	ZNF423
ZNF629	ZNF629
ZNRF1	ZNRF1
TMEM57	TMEM57
TP73	TP73
TPR	TPR
TRIM11	TRIM11
TRIM33	TRIM33
TRIM46	TRIM46
TRIM67	TRIM67
TXLNA	TXLNA
UBAP2L	UBAP2L
UBE2J2	UBE2J2
UBE2Q1	UBE2Q1
UBE4B	UBE4B
UBQLN4	UBQLN4
UBR4	UBR4
USP1	USP1
USP24	USP24
USP48	USP48
WASF2	WASF2
WDR26	WDR26
WDTC1	WDTC1
WNT3A	WNT3A
WNT9A	WNT9A
XPR1	XPR1
YBX1	YBX1
YTHDF2	YTHDF2
ZBTB17	ZBTB17
ZBTB18	ZBTB18
ZBTB37	ZBTB37
ZC3H11A	ZC3H11A
ZCCHC11	ZCCHC11
ZFYVE9	ZFYVE9
ZMYM4	ZMYM4
ZNF281	ZNF281
ZNF326	ZNF326
ZNF362	ZNF362
ZNF496	ZNF496
ZNF644	ZNF644
ZNF687	ZNF687
ZRANB2	ZRANB2
ZYG11B	ZYG11B
